ADMIN,Longitude,Latitude,LatLng
Aruba,-69.98267711,12.52088038,"12.52088038 , -69.98267711"
Afghanistan,66.00473366,33.83523073,"33.83523073,66.00473366"
Angola,17.53736768,-12.29336054,"-12.29336054,17.53736768"
Anguilla,-63.06498927,18.2239595,"18.2239595,-63.06498927"
Albania,20.04983396,41.14244989,"41.14244989,20.04983396"
Aland,19.95328768,60.21488688,"60.21488688,19.95328768"
Andorra,1.56054378,42.54229102,"42.54229102,1.56054378"
United Arab Emirates,54.3001671,23.90528188,"23.90528188,54.3001671"
Argentina,-65.17980692,-35.3813488,"-35.3813488,-65.17980692"
Armenia,44.92993276,40.28952569,"40.28952569,44.92993276"
American Samoa,-170.7180258,-14.30445997,"-14.30445997,-170.71802575"
Antarctica,19.92108951,-80.50857913,"-80.50857913,19.92108951"
Ashmore and Cartier Islands,123.5838379,-12.42993164,"-12.42993164,123.58383789"
French Southern and Antarctic Lands,69.22666758,-49.24895485,"-49.24895485,69.22666758"
Antigua and Barbuda,-61.79469343,17.2774996,"17.2774996,-61.79469343"
Australia,134.4910001,-25.73288704,"-25.73288704,134.49100008"
Austria,14.1264761,47.58549439,"47.58549439,14.1264761"
Azerbaijan,47.54599879,40.28827235,"40.28827235,47.54599879"
Burundi,29.87512156,-3.35939666,"-3.35939666,29.87512156"
Belgium,4.64065114,50.63981576,"50.63981576,4.64065114"
Benin,2.32785254,9.6417597,"9.6417597,2.32785254"
Burkina Faso,-1.75456601,12.26953846,"12.26953846,-1.75456601"
Bangladesh,90.23812743,23.86731158,"23.86731158,90.23812743"
Bulgaria,25.21552909,42.76890318,"42.76890318,25.21552909"
Bahrain,50.54196932,26.04205135,"26.04205135,50.54196932"
Canada,-98.30777028,61.36206324,"61.36206324,-98.30777028"
The Bahamas,-76.62843038,24.29036702,"24.29036702,-76.62843038"
Bosnia and Herzegovina,17.76876733,44.17450125,"44.17450125,17.76876733"
Saint Barthelemy,-62.84067779,17.89880451,"17.89880451,-62.84067779"
Belarus,28.03209307,53.53131377,"53.53131377,28.03209307"
Belize,-88.71010486,17.20027509,"17.20027509,-88.71010486"
Bermuda,-64.7545589,32.31367802,"32.31367802,-64.7545589"
Bolivia,-64.68538645,-16.70814787,"-16.70814787,-64.68538645"
Brazil,-53.09783113,-10.78777702,"-10.78777702,-53.09783113"
Barbados,-59.559797,13.18145428,"13.18145428,-59.559797"
Brunei,114.7220304,4.51968958,"4.51968958,114.72203035"
Bhutan,90.40188155,27.41106589,"27.41106589,90.40188155"
Botswana,23.79853368,-22.18403213,"-22.18403213,23.79853368"
Central African Republic,20.46826831,6.56823297,"6.56823297,20.46826831"
Switzerland,8.20867471,46.79785878,"46.79785878,8.20867471"
